source,value,side,clip_delta
raw_net0,5.144188404083252,above,1.175438404083252
raw_net0,5.191720962524414,above,1.222970962524414
raw_net0,5.290756702423096,above,1.3220067024230957
raw_net0,7.844844341278076,above,3.876094341278076
raw_net0,-6.269496440887451,below,2.269496440887451
raw_net0,-7.120035171508789,below,3.120035171508789
raw_net0,4.089381694793701,above,0.12063169479370117
raw_net0,7.762295246124268,above,3.7935452461242676
raw_net0,8.836764335632324,above,4.868014335632324
raw_net0,4.486324310302734,above,0.5175743103027344
raw_net0,-23.389169692993164,below,19.389169692993164
raw_net0,-4.412071704864502,below,0.41207170486450195
raw_net0,-11.713814735412598,below,7.713814735412598
raw_net0,4.656116008758545,above,0.6873660087585449
raw_net0,13.681468963623047,above,9.712718963623047
raw_net0,-7.399716377258301,below,3.399716377258301
raw_net0,-5.671524524688721,below,1.6715245246887207
raw_net0,-9.129002571105957,below,5.129002571105957
raw_net0,10.351493835449219,above,6.382743835449219
raw_net0,4.574881553649902,above,0.6061315536499023
raw_net0,4.018912315368652,above,0.050162315368652344
raw_net0,-10.520371437072754,below,6.520371437072754
raw_net0,7.905766010284424,above,3.937016010284424
raw_net0,-4.187625885009766,below,0.18762588500976562
raw_net0,4.967496871948242,above,0.9987468719482422
raw_net0,13.408045768737793,above,9.439295768737793
raw_net0,-7.823317527770996,below,3.823317527770996
raw_net0,5.672158241271973,above,1.7034082412719727
raw_net0,12.202275276184082,above,8.233525276184082
raw_net0,10.94528865814209,above,6.97653865814209
raw_net0,-4.993370056152344,below,0.9933700561523438
raw_net0,4.519837856292725,above,0.5510878562927246
raw_net0,8.358038902282715,above,4.389288902282715
raw_net0,-4.93062686920166,below,0.9306268692016602
raw_net0,7.036466598510742,above,3.067716598510742
raw_net0,40.63956832885742,above,36.67081832885742
raw_net0,4.4417948722839355,above,0.47304487228393555
raw_net0,8.286251068115234,above,4.317501068115234
raw_net0,19.657522201538086,above,15.688772201538086
raw_net0,6.249220371246338,above,2.280470371246338
raw_net0,-4.176444053649902,below,0.17644405364990234
raw_net0,-8.101612091064453,below,4.101612091064453
raw_net0,4.523303031921387,above,0.5545530319213867
raw_net0,4.183447360992432,above,0.21469736099243164
raw_net0,4.320556640625,above,0.351806640625
raw_net0,-4.010949611663818,below,0.01094961166381836
raw_net0,-4.749179363250732,below,0.7491793632507324
raw_net0,-5.31395959854126,below,1.3139595985412598
raw_net0,4.733860969543457,above,0.765110969543457
raw_net0,-4.147069454193115,below,0.14706945419311523
raw_net0,4.3039140701293945,above,0.33516407012939453
raw_net0,10.863829612731934,above,6.895079612731934
raw_net0,7.686494827270508,above,3.717744827270508
raw_net0,4.192708492279053,above,0.22395849227905273
raw_net0,4.232475757598877,above,0.26372575759887695
raw_net0,6.367697715759277,above,2.3989477157592773
raw_net0,8.293996810913086,above,4.325246810913086
raw_net0,4.796677112579346,above,0.8279271125793457
raw_net0,5.348795413970947,above,1.3800454139709473
raw_net0,-4.334116458892822,below,0.33411645889282227
raw_net0,-6.162123680114746,below,2.162123680114746
raw_net0,5.37318229675293,above,1.4044322967529297
raw_net0,-4.293725967407227,below,0.29372596740722656
raw_net0,8.134183883666992,above,4.165433883666992
raw_net0,4.988081932067871,above,1.019331932067871
raw_net0,5.3755598068237305,above,1.4068098068237305
raw_net0,-5.018261909484863,below,1.0182619094848633
raw_net0,5.474524974822998,above,1.505774974822998
raw_net0,-9.143275260925293,below,5.143275260925293
raw_net0,-4.143890380859375,below,0.143890380859375
raw_net0,-22.06068229675293,below,18.06068229675293
raw_net0,4.628599166870117,above,0.6598491668701172
raw_net0,-5.934025287628174,below,1.9340252876281738
raw_net0,-5.3348774909973145,below,1.3348774909973145
raw_net0,6.254416465759277,above,2.2856664657592773
raw_net0,-4.284957408905029,below,0.2849574089050293
raw_net0,-7.530856132507324,below,3.530856132507324
raw_net0,-4.168933391571045,below,0.16893339157104492
raw_net0,-4.955428123474121,below,0.9554281234741211
raw_net0,-4.072249889373779,below,0.0722498893737793
raw_net0,-4.660045146942139,below,0.6600451469421387
raw_net0,8.948203086853027,above,4.979453086853027
raw_net0,5.468025207519531,above,1.4992752075195312
raw_net0,-11.623678207397461,below,7.623678207397461
raw_net0,4.20205020904541,above,0.23330020904541016
raw_net0,4.830505847930908,above,0.8617558479309082
raw_net0,4.420223236083984,above,0.4514732360839844
raw_net0,6.278757095336914,above,2.310007095336914
raw_net0,-10.779528617858887,below,6.779528617858887
raw_net0,13.867073059082031,above,9.898323059082031
raw_net0,5.205150127410889,above,1.2364001274108887
raw_net0,6.618099212646484,above,2.6493492126464844
raw_net0,4.911859035491943,above,0.9431090354919434
raw_net0,-20.397172927856445,below,16.397172927856445
raw_net0,-13.00826644897461,below,9.00826644897461
raw_net0,4.900454521179199,above,0.9317045211791992
raw_net0,-5.8699774742126465,below,1.8699774742126465
raw_net0,4.14815616607666,above,0.17940616607666016
raw_net0,-7.248702526092529,below,3.2487025260925293
raw_net0,-8.573838233947754,below,4.573838233947754
raw_net0,-5.333999156951904,below,1.3339991569519043
raw_net0,-4.355502605438232,below,0.3555026054382324
raw_net0,5.43337345123291,above,1.4646234512329102
raw_net0,8.044968605041504,above,4.076218605041504
raw_net0,-9.06165885925293,below,5.06165885925293
raw_net0,-4.069241523742676,below,0.06924152374267578
raw_net0,5.9507317543029785,above,1.9819817543029785
raw_net0,-15.162776947021484,below,11.162776947021484
raw_net0,4.314452171325684,above,0.3457021713256836
raw_net0,4.126711845397949,above,0.15796184539794922
raw_net0,-4.579782485961914,below,0.5797824859619141
raw_net0,-4.669137477874756,below,0.6691374778747559
raw_net0,13.501004219055176,above,9.532254219055176
raw_net0,-6.1276469230651855,below,2.1276469230651855
raw_net0,7.615314483642578,above,3.646564483642578
raw_net0,5.275118350982666,above,1.306368350982666
raw_net0,23.88357925415039,above,19.91482925415039
raw_net0,7.387890338897705,above,3.419140338897705
raw_net0,5.915506362915039,above,1.946756362915039
raw_net0,-5.068475246429443,below,1.0684752464294434
raw_net0,10.097185134887695,above,6.128435134887695
raw_net0,7.4967122077941895,above,3.5279622077941895
raw_net0,-5.399158000946045,below,1.399158000946045
raw_net0,12.804666519165039,above,8.835916519165039
raw_net0,4.206779479980469,above,0.23802947998046875
raw_net0,4.12528657913208,above,0.15653657913208008
raw_net0,6.8415985107421875,above,2.8728485107421875
raw_net0,5.151851654052734,above,1.1831016540527344
raw_net0,-4.4601616859436035,below,0.4601616859436035
raw_net0,6.826943397521973,above,2.8581933975219727
raw_net0,-6.28358793258667,below,2.28358793258667
raw_net0,17.693552017211914,above,13.724802017211914
raw_net0,5.378113746643066,above,1.4093637466430664
raw_net0,-8.117053031921387,below,4.117053031921387
raw_net0,-8.340343475341797,below,4.340343475341797
raw_net0,-4.484618663787842,below,0.4846186637878418
raw_net0,-10.263922691345215,below,6.263922691345215
raw_net0,-7.144904136657715,below,3.144904136657715
raw_net0,-9.151294708251953,below,5.151294708251953
raw_net0,10.035614013671875,above,6.066864013671875
raw_net0,-4.00152587890625,below,0.00152587890625
raw_net0,4.538115978240967,above,0.5693659782409668
raw_net0,5.767070770263672,above,1.7983207702636719
raw_net0,4.544111251831055,above,0.5753612518310547
raw_net0,-4.863247871398926,below,0.8632478713989258
raw_net0,-8.782708168029785,below,4.782708168029785
raw_net0,-7.9594879150390625,below,3.9594879150390625
raw_net0,21.143856048583984,above,17.175106048583984
raw_net0,-4.374445915222168,below,0.37444591522216797
raw_net0,-4.2039666175842285,below,0.20396661758422852
raw_net0,7.2440900802612305,above,3.2753400802612305
raw_net0,-5.7341203689575195,below,1.7341203689575195
raw_net0,-11.38496208190918,below,7.38496208190918
raw_net0,14.320754051208496,above,10.352004051208496
raw_net0,6.919681549072266,above,2.9509315490722656
raw_net0,-8.50285816192627,below,4.5028581619262695
raw_net0,4.725521087646484,above,0.7567710876464844
raw_net0,4.171252727508545,above,0.20250272750854492
raw_net0,-5.548945903778076,below,1.5489459037780762
